 439,    1,  448,   11,    9,   10,   11,    6
 131,  468,  141,  478,   10,   10,   12,    6
 310,  277,  319,  288,    9,   11,   13,    6
 387,  311,  398,  320,   11,    9,   14,    6
 404,  137,  414,  145,   10,    8,   15,    6
 413,   54,  449,   89,   36,   35,   16,    6
 137,   86,  149,   99,   12,   13,   17,    6
 136,   32,  143,   39,    7,    7,   18,    6
 241,  466,  268,  490,   27,   24,   19,    6
 470,    0,  504,   40,   34,   40,   20,    6
  55,  176,   60,  186,    5,   10,   21,    6
  58,   74,   69,   83,   11,    9,   22,    6
 283,  500,  297,  512,   14,   12,   23,    6
 463,   39,  482,   56,   19,   17,   24,    6
 321,  378,  330,  389,    9,   11,   25,    6
  83,   50,  103,   68,   20,   18,    1,    7
 363,   23,  380,   39,   17,   16,    2,    7
 228,   21,  246,   38,   18,   17,    3,    7
 342,   28,  357,   43,   15,   15,    4,    7
  13,  334,   34,  355,   21,   21,    5,    7
 277,  168,  288,  181,   11,   13,    6,    7
 112,  320,  135,  341,   23,   21,    7,    7
 396,  462,  419,  482,   23,   20,    8,    7
 477,   76,  500,   98,   23,   22,    9,    7
   5,  229,   30,  252,   25,   23,   10,    7
 439,    1,  448,   11,    9,   10,   11,    7
 131,  468,  141,  478,   10,   10,   12,    7
 310,  277,  319,  288,    9,   11,   13,    7
 387,  311,  398,  320,   11,    9,   14,    7
 404,  137,  414,  145,   10,    8,   15,    7
 413,   54,  449,   89,   36,   35,   16,    7
 137,   86,  149,   99,   12,   13,   17,    7
 136,   32,  143,   39,    7,    7,   18,    7
 241,  467,  268,  490,   27,   23,   19,    7
 470,    0,  504,   36,   34,   36,   20,    7
  55,  176,   60,  186,    5,   10,   21,    7
  58,   74,   69,   83,   11,    9,   22,    7
 283,  500,  297,  512,   14,   12,   23,    7
 463,   39,  482,   56,   19,   17,   24,    7
 321,  378,  330,  389,    9,   11,   25,    7
  84,   48,  103,   67,   19,   19,    1,    8
 365,   21,  380,   37,   15,   16,    2,    8
 231,   21,  248,   39,   17,   18,    3,    8
 343,   26,  359,   41,   16,   15,    4,    8
   9,  329,   30,  352,   21,   23,    5,    8
 279,  168,  290,  181,   11,   13,    6,    8
 113,  316,  136,  338,   23,   22,    7,    8
 398,  460,  420,  481,   22,   21,    8,    8
 480,   76,  502,   97,   22,   21,    9,    8
   9,  229,   34,  253,   25,   24,   10,    8
 440,    1,  449,   10,    9,    9,   11,    8
 132,  466,  143,  477,   11,   11,   12,    8
 311,  276,  321,  287,   10,   11,   13,    8
 386,  312,  400,  321,   14,    9,   14,    8
 407,  134,  414,  143,    7,    9,   15,    8
 415,   55,  451,   89,   36,   34,   16,    8
 136,   84,  153,   99,   17,   15,   17,    8
 137,   29,  144,   37,    7,    8,   18,    8
 243,  469,  266,  490,   23,   21,   19,    8
 474,    0,  502,   41,   28,   41,   20,    8
  56,  177,   62,  186,    6,    9,   21,    8
  12,  106,   22,  115,   10,    9,   22,    8
 283,  500,  297,  512,   14,   12,   23,    8
 465,   46,  483,   64,   18,   18,   24,    8
 321,  378,  330,  389,    9,   11,   25,    8
 495,  461,  512,  479,   17,   18,   26,    8
  84,   48,  103,   66,   19,   18,    1,    9
 365,   21,  380,   36,   15,   15,    2,    9
 231,   21,  249,   39,   18,   18,    3,    9
 344,   25,  360,   41,   16,   16,    4,    9
   7,  328,   28,  351,   21,   23,    5,    9
 280,  168,  291,  182,   11,   14,    6,    9
 114,  316,  136,  337,   22,   21,    7,    9
 399,  460,  421,  480,   22,   20,    8,    9
 481,   76,  503,   97,   22,   21,    9,    9
  10,  229,   34,  253,   24,   24,   10,    9
 440,    0,  449,   10,    9,   10,   11,    9
 133,  465,  143,  476,   10,   11,   12,    9
 312,  276,  321,  286,    9,   10,   13,    9
 386,  312,  400,  321,   14,    9,   14,    9
 408,  133,  415,  143,    7,   10,   15,    9
 416,   55,  452,   89,   36,   34,   16,    9
 136,   83,  154,   99,   18,   16,   17,    9
 137,   28,  145,   36,    8,    8,   18,    9
 244,  469,  266,  490,   22,   21,   19,    9
 476,    0,  501,   42,   25,   42,   20,    9
  56,  177,   63,  186,    7,    9,   21,    9
 283,  500,  297,  512,   14,   12,   23,    9
 466,   48,  484,   66,   18,   18,   24,    9
 321,  378,  330,  389,    9,   11,   25,    9
 495,  461,  512,  479,   17,   18,   26,    9
  84,   48,  103,   66,   19,   18,    1,   10
 365,   21,  380,   36,   15,   15,    2,   10
 231,   21,  249,   39,   18,   18,    3,   10
 344,   25,  360,   41,   16,   16,    4,   10
   7,  328,   28,  351,   21,   23,    5,   10
 280,  168,  291,  182,   11,   14,    6,   10
 114,  315,  136,  337,   22,   22,    7,   10
 399,  460,  421,  480,   22,   20,    8,   10
 481,   76,  503,   96,   22,   20,    9,   10
  10,  229,   35,  253,   25,   24,   10,   10
 441,    0,  450,    9,    9,    9,   11,   10
 133,  465,  143,  476,   10,   11,   12,   10
 312,  276,  321,  286,    9,   10,   13,   10
 386,  312,  401,  321,   15,    9,   14,   10
 408,  133,  415,  143,    7,   10,   15,   10
 416,   55,  452,   89,   36,   34,   16,   10
 136,   83,  154,   99,   18,   16,   17,   10
 137,   28,  145,   36,    8,    8,   18,   10
 244,  469,  266,  490,   22,   21,   19,   10
 475,    0,  502,   45,   27,   45,   20,   10
  56,  177,   63,  186,    7,    9,   21,   10
 283,  500,  297,  512,   14,   12,   23,   10
 466,   48,  484,   66,   18,   18,   24,   10
 321,  378,  330,  389,    9,   11,   25,   10
 495,  461,  511,  479,   16,   18,   26,   10
